OPM OCCUPATION TITLE ,FedSec Occ Group(9),SOC CODE,CENS CODE,CENSUS OCCUPATION TITLE
LAW CLERK,2,23-10XX,2100,"LAWYERS & JUDGES, MAGISTRATES, & OTHER JUDICAL WORKERS"
GENERAL ATTORNEY,2,23-10XX,2100,"LAWYERS & JUDGES, MAGISTRATES, & OTHER JUDICAL WORKERS"
HEARING & APPEALS,2,23-10XX,2100,"LAWYERS & JUDGES, MAGISTRATES, & OTHER JUDICAL WORKERS"
ADMINISTRATIVE LAW JUDGE,2,23-10XX,2100,"LAWYERS & JUDGES, MAGISTRATES, & OTHER JUDICAL WORKERS"
PARALEGAL SPECIALIST,5,23-2011,2145,PARALEGALS & LEGAL ASSISTANTS
PENSION LAW SPECIALIST,5,23-2090,2160,MISCELLANEOUS LEGAL SUPPORT WORKERS
CONTACT REPRESENTATIVE,5,43-4061,5250,"ELIGIBILITY INTERVIEWERS, GOVERNMENT PROGRAMS "
LEGAL INSTRUMENTS EXAMINING,5,23-2090,2160,MISCELLANEOUS LEGAL SUPPORT WORKERS
LAND LAW EXAMINING,5,23-2090,2160,MISCELLANEOUS LEGAL SUPPORT WORKERS
PASSPORT & VISA EXAMINING,1,13-1041,565,COMPLIANCE OFFICERS
LEGAL ASSISTANCE,5,23-2090,2160,MISCELLANEOUS LEGAL SUPPORT WORKERS
TAX LAW SPECIALIST ,5,23-2011,2145,PARALEGALS & LEGAL ASSISTANTS
WORKERS' COMPENSATION CLAIMS EXAMINING,1,13-1030,540,"CLAIMS ADJUSTERS, APPRAISERS, EXAMINERS, & INVESTIGATORS"
RAILROAD RETIREMENT CLAIMS EXAMING ,1,13-1030,540,"CLAIMS ADJUSTERS, APPRAISERS, EXAMINERS, & INVESTIGATORS"
VETERANS CLAIMS EXAMING,1,13-1030,540,"CLAIMS ADJUSTERS, APPRAISERS, EXAMINERS, & INVESTIGATORS"
CLAIMS ASSISTANCE & EXAMING,5,43-9XXX,5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS"
LEGAL OCCUPATIONS STUDENT TRAINEE,5,23-2090,2160,MISCELLANEOUS LEGAL SUPPORT WORKERS
GENERAL ARTS & INFORMATION,2,27-1010,2600,ARTIST & RELATED WORKERS
ARTS & INFORMATION SUPPORT,2,27-1010,2600,ARTISTS & RELATED WORKERS
INTERIOR DESIGN ,2,27-1020,2630,DESIGNERS
EXHIBITS SPECIALIST,2,27-1020,2630,DESIGNERS
MUSEUM CURATOR ,2,25-4010,2400,"ARCHIVISTS, CURATORS & MUSEUM TECHNICIANS"
MUSEUM SPECIALIST & TECHNICIAN ,2,25-4010,2400," ARCHIVISTS, CURATORS & MUSEUM TECHNICIANS"
ILLUSTRATING ,2,27-1010,2600,ARTISTS & RELATED WORKERS
OFFICE DRAFTING ,3,17-3010,1540,DRAFTERS
PUBLIC AFFAIRS,2,27-3031,2825,PUBLIC RELATIONS SPECIALISTS
LANGUAGE SPECIALIST ,2,27-3090,2860,MISCELLANEOUS MEDIA & COMMUNICATIONS WORKERS
LANGUAGE CLERICAL ,5,43-9XXX,5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS"
MUSIC SPECIALIST ,2,27-2040,2750,"MUSICIANS, SINGERS & RELATED WORKERS"
THEATER SPECIALIST,2,27-2012,2710,PRODUCERS & DIRECTORS
ART SPECIALIST,2,27-1010,2600,ARTISTS & RELATED WORKERS
PHOTOGRAPHY ,2,27-4021,2910,PHOTOGRAPHERS
AUDIOVISUAL PRODUCTION,2,27-2012,2710,PRODUCERS & DIRECTORS
WRITING & EDITING ,2,27-3043,2850,WRITERS & AUTHORS
TECHNICAL WRITING & EDITING ,2,27-3042,2840, TECHNICAL WRITERS
VISUAL INFORMATION ,2,29-1020,2630,DESIGNERS
EDITORIAL ASSISTANCE ,5,43-9081,5910,PROOFREADERS & COPY MARKERS
INFORMATION & ARTS STUDENT TRAINEE,2,27-1010,2600,ARTISTS & RELATED WORKERS
GENERAL BUSINESS & INDUSTRY,1,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHERS"
CONTRACTING,1,13-1023,530,"PURCHASING AGENTS, EXCEPT WHOLESALE, RETAIL  & FARM PRODUCTS"
INDUSTRIAL PROPERTY MANGEMENT ,1,11-9141,410,"PROPERTY, REAL ESTATE, & COMMUNITY ASSOCIATION MANAGERS"
PROPERTY DISPOSAL,1,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER"
PURCHASING ,1,13-1023,530,"PURCHASING AGENTS, EXCEPT WHOLESALE, RETAIL  & FARM PRODUCTS"
PROCUREMENT CLERICAL & ASSISTANCE ,5,43-3061,5150,PROCUREMENT CLERKS
PROPERTY DISPOSAL CLERICAL & TECHNICIAN,5,43-9XXX,5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS"
GRANTS MANAGEMENT,1,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER"
PUBLIC UTILITIES SPECIALIST,1,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER"
TRADE SPECIALIST,1,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER"
COMMISSARY STORE MANAGEMENT ,1,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER"
AGRICULTURAL PROGRAM SPECIALIST,1,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER"
AGRICULTURAL MARKETING ,2,19-3020,1810,MARKET & SURVEY RESEARCHERS 
AGRICULTURAL MARKET REPORTING ,2,19-3020,1810,MARKET & SURVEY RESEARCHERS
INDUSTRIAL SPECIALIST,1,13-1199,740,OTHER BUSINESS OPERATIONS SPECIALISTS
PRODUCTION CONTROL ,1,11-3051,140,INDUSTRIAL PRODUCTION MANAGERS
FINANCIAL ANALYSIS,1,13-2051,840,FINANCIAL ANALYSTS
INSURANCE EXAMINING ,1,13-2099,950,"FINANCIAL SPECIALISTS, ALL OTHER"
LOAN SPECIALIST ,1,13-2070,910,CREDIT COUNSELORS & LOAN OFFICERS
INTERNAL REVENUE OFFICER,1,13-2081,930,"TAX EXAMINERS, COLLECTORS,  & REVENUE AGENTS"
REALTY ,1,11-9141,410,"PROPERTY, REAL ESTATE & COMMUNITY ASSOCIATION MANAGERS"
APPRAISING ,1,13-2021,810,APPRAISERS & ASSESSORS OF REAL ESTATE
HOUSING MANAGEMENT,1,11-9141,410,"PROPERTY, REAL ESTATE, & COMMUNITY ASSOCIATION MANAGERS"
BUILDING MANAGEMENT,1,11-9141,410,"PROPERTY, REAL ESTATE, & COMMUNITY ASSOCIATION MANAGERS"
BUSINESS & INDUSTRY STUDENT TRAINEE,1,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER"
PATENT TECHNICIAN ,5,23-2090,2160,MISCELLANEOUS LEGAL SUPPORT WORKERS
COPYRIGHT ,5,23-2090,2160,MISCELLANEOUS LEGAL SUPPORT WORKERS
PATENT ADMINISTRATION ,5,23-2090,2160,MISCELLANEOUS LEGAL SUPPORT WORKERS
PATENT ADVISER ,5,23-2090,2160,MISCELLANEOUS LEGAL SUPPORT WORKERS
PATENT ATTORNEY ,2,23-10XX,2100,"LAWYERS & JUDGES, MAGISTRATES, & OTHER JUDICIAL WORKERS"
PATENT CLASSIFYING ,5,23-2090,2160,MISCELLANEOUS LEGAL SUPPORT WORKERS
PATENT EXAMINING ,5,23-2090,2160,MISCELLANEOUS LEGAL SUPPORT WORKERS
DESIGN PATTERN EXAMINING ,5,23-2090,2160,MISCELLANEOUS LEGAL SUPPORT WORKERS
COPYRIGHT & PATENT STUDENT TRAINEE,5,23-2090,2160,MISCELLANEOUS LEGAL SUPPORT WORKERS
GENERAL PHYSICAL SCIENCE,2,19-2099,1760,"PHYSICAL SCIENTISTS, ALL OTHER"
HEALTH PHYSICS ,2,19-2010,1700,ASTRONOMERS & PHYSICISTS
PHYSICS,2,19-2010,1700,ASTRONOMERS & PHYSICISTS
PHYSICAL SCIENCE TECHNICIAN,3,19-40YY,1965,"MISCELLANEOUS LIFE, PHYSICAL, & SOCIAL SCIENCE TECHNICIANS"
GEOPHYSICS,2,19-2040,1740,ENVIRONMENTAL SCIENTISTS & GEOSCIENTISTS
HYDROLOGY ,2,19-2040,1740,ENVIRONMENTAL SCIENTISTS & GEOSCIENTISTS
HYDROLOGIC TECHNICIAN ,3,19-40YY,1965,"MISCELLANEOUS LIFE, PHYSICAL, & SOCIAL SCIENCE TECHNICIANS"
CHEMISTRY ,2,19-2030,1720,CHEMISTS & MATERIALS SCIENTISTS
METALLURGY,2,19-2030,1720,CHEMISTS & MATERIALS SCIENTISTS
ASTRONOMY & SPACE SCIENCE,2,19-2010,1700,ASTRONOMERS & PHYSICISTS
METEOROLOGY,2,19-2021,1710,ATMOSPHERIC & SPACE SCIENTISTS
METEOROLOGICAL TECHNICIAN ,3,19-40YY,1965,"MISCELLANEOUS LIFE, PHYSICAL, & SOCIAL SCIENCE TECHNICIANS"
GEOLOGY ,2,19-2040,1740,ENVIRONMENTAL SCIENTISTS & GEOSCIENTISTS
OCEANOGRAPHY ,2,19-2040,1740,ENVIRONMENTAL SCIENTISTS & GEOSCIENTISTS
NAVIGATIONAL INFORMATION ,3,17-3031,1560,SURVEYING & MAPPING TECHNICIANS
CARTOGRAPHY ,2,17-1020,1310,"SURVEYORS, CARTOGRAPHERS, & PHOTOGRAMMETRISTS"
CARTOGRAPHIC TECHNICIAN,3,17-3031,1560,SURVEYING & MAPPING TECHNICIANS
GEODESY ,2,17-1020,1310,"SURVEYORS, CARTOGRAPHERS, & PHOTOGRAMMETRISTS"
LAND SURVEYING ,2,17-1020,1310,"SURVEYORS, CARTOGRAPHERS, & PHOTOGRAMMETRISTS"
GEODETIC TECHNICIAN ,3,17-3031,1560,SURVEYING & MAPPING TECHNICIANS
FOREST PRODUCTS TECHNOLOGY,2,17-2131,1450,MATERIALS ENGINEERS
FOOD TECHNOLOGY ,2,19-1010,1600,AGRICULTURAL & FOOD SCIENTISTS
TEXTILE TECHNOLOGY ,2,19-2099,1760,"PHYSICAL SCIENTISTS, ALL OTHER"
PHOTOGRAPHIC TECHNOLOGY ,2,19-2099,1760,"PHYSICAL SCIENTISTS, ALL OTHER "
DOCUMENTS ANALYSIS,3,19-40YY,1965,"MISCELLANEOUS LIFE, PHYSICAL, & SOCIAL SCIENCE TECHNICIANS"
PHYSICAL SCIENCE TRAINEE,2,19-2099,1760,"PHYSICAL SCIENTISTS, ALL OTHER"
PHYSICAL SCIENCE STUDENT TRAINEE,2,19-2099,1760,"PHYSICAL SCIENTISTS, ALL OTHER"
LIBRARIAN,2,25-4021,2430,LIBRARIANS
LIBRARY TECHNICIAN ,5,25-4031,2440,LIBRARY TECHNICIANS
TECHNICIAN INFORMATION SERVICES,5,25-4031,2440,LIBRARY TECHNICIANS
ARCHIVIST ,2,25-4010,2400,"ARCHIVISTS, CURATORS & MUSEUM TECHNICIANS"
ARCHIVES TECHNICIAN,2,25-4010,2400,"ARCHIVISTS, CURATORS & MUSEUM TECHNICIANS"
LIBRARY & ARCHIVES STUDENT TRAINEE,2,25-90XX,2550,"OTHER EDUCATION, TRAINING & LIBRARY WORKERS"
STATISTICS,2,15-20XX,1240,"MISCELLANEOUS MATHEMATICAL SCIENCE OCCUPATIONS, INCLUDING MATHEMATICIANS & STATISTICIANS"
ACTUARY,2,15-2011,1200,ACTUARIES
OPERATIONS RESEARCH,2,15-2031,1220,OPERATIONS RESEARCH ANALYSTS
MATHEMATICS,2,15-20XX,1240,"MISCELLANEOUS MATHEMATICAL SCIENCE OCCUPATIONS, INCLUDING MATHEMATICIANS & STATISTICIANS"
MATHEMATICS TECHNICIAN,2,15-20XX,1240,"MISCELLANEOUS MATHEMATICAL SCIENCE OCCUPATIONS, INCLUDING MATHEMATICIANS & STATISTICIANS"
MATHEMATICAL STATISTICIAN,2,15-20XX,1240,"MISCELLANEOUS MATHEMATICAL SCIENCE OCCUPATIONS, INCLUDING MATHEMATICIANS & STATISTICIANS"
STATISTICIAN,2,15-20XX,1240,"MISCELLANEOUS MATHEMATICAL SCIENCE OCCUPATIONS, INCLUDING MATHEMATICIANS & STATISTICIANS"
STATISTICAL ASSISTANT,5,43-9111,5920,STATISTICAL ASSISTANTS
CRYPTOGRAPHY ,2,15-20XX,1240,"MISCELLANEOUS MATHEMATICAL SCIENCE OCCUPATIONS, INCLUDING MATHEMATICIANS & STATISTICIANS"
CRYPTANALYSIS,2,15-20XX,1240,"MISCELLANEOUS MATHEMATICAL SCIENCE OCCUPATIONS, INCLUDING MATHEMATICIANS & STATISTICIANS"
COMPUTER SCIENCE,2,15-10XX,1005,COMPUTER & INFORMATION RESEARCH SCIENTISTS
MATHEMATICS OR COMPUTER SCIENCE TRAINEE,2,15-20XX,1240,"MISCELLANEOUS MATHEMATICAL SCIENCE OCCUPATIONS, INCLUDING MATHEMATICIANS & STATISTICIANS"
MATHEMATICS & STATISTICS STUDENT TRAINEE ,2,15-20XX,1240,"MISCELLANEOUS MATHEMATICAL SCIENCE OCCUPATIONS, INCLUDING MATHEMATICIANS & STATISTICIANS"
"EQUIPMENT, FACILITIES, & SERVICES",1,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER"
EQUIPMENT FACILITIES & SERVICES ASSISTANCE,5,43-9XXX,5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS"
CEMETERY ADMINISTRATION SERVICES,1,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER"
FACILITY OPERATIONS,1,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER"
PRINTING MANAGEMENT ,1,11-3011,100,ADMINISTRATIVE SERVICES MANAGERS
LAUNDRY OPERATIONS SERVICES,7,51-8090,8630,MISCELLANEOUS PLANT & SYSTEM OPERATORS
FOOD SERVICES,9,35-1012,4010,FIRST-LINE SUPERVISORS OF FOOD PREPARATION & SERVING WORKERS
EQUIPMENT SERVICES ,1,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER"
EQUIPMENT & FACILITES SERVICES STUDENT TRAINEE,1,13-1199,740,OTHER BUSINESS OPERATIONS SPECIALISTS
GENERAL EDUCATION & TRAINING,2,25-3000,2340,OTHER TEACHERS & INSTRUCTORS
EDUCATION & TRAINING TECHNICIANS,2,25-90XX,2550,"OTHER EDUCATION, TRAINING & LIBRARY WORKERS"
EDUCATION SPECIALIST,2,25-3000,2340,OTHER TEACHERS & INSTRUCTORS
EDUCATION & VOCATIONAL TRAINING,2,25-3000,2340,OTHER TEACHERS & INSTRUCTORS
TRAINING INSTRUCTION,2,25-3000,2340,OTHER TEACHERS & INSTRUCTORS
VOCATIONAL REHABILITATION,2,25-3000,2340,OTHER TEACHERS & INSTRUCTORS
EDUCATIONAL PROGRAM,2,25-90XX,2550,"OTHER EDUCATION, TRAINING & LIBRARY WORKERS"
PUBLIC HEALTH EDUCATOR,2,21-109X,2025,MISCELLANEOUS COMMUNITY & SOCIAL SERVICE SPECIALISTS 
EDUCATIONAL RESEARCH ,2,19-30XX,1860,"MISCELLANEOUS SOCIAL SCIENTISTS, INCLUDING  SOCIOLOGISTS"
EDUCATIONAL SERVICES ,2,21-1010,2000,COUNSELORS
INSTRUCTIONAL SYSTEMS,2,25-90XX,2550,"OTHER EDUCATION, TRAINING & LIBRARY WORKERS"
EDUCATION STUDENT TRAINEE,2,25-3000,2340,OTHER TEACHERS & INSTRUCTORS
"GENERAL INSPECTION, INVESTIGATION & COMPLIANCE",1,13-1041,565,COMPLIANCE OFFICERS
COMPLIANCE INSPECTION & SUPPORT,1,13-1041,565,COMPLIANCE OFFICERS
INVESTIGATIVE ANALYSIS,9,33-3021,3820,DETECTIVES & CRIMINAL INVESTIGATORS
GENERAL INVESTIGATING,9,33-3021,3820,DETECTIVES & CRIMINAL INVESTIGATORS
CRIMINAL INVESTIGATING,9,33-3021,3820,DETECTIVES & CRIMINAL INVESTIGATORS
AIR SAFETY INVESTIGATING ,1,13-1041,565,COMPLIANCE OFFICERS
MINE SAFETY & HEALTH ,1,13-1041,565,COMPLIANCE OFFICERS
AVIATION SAFETY,7,53-6051,9410,TRANSPORTATION INSPECTORS
SECURITIES COMPLIANCE EXAMINING,1,13-2061,900,FINANCIAL EXAMINERS
WAGE & HOUR COMPLIANCE,1,13-1041,565,COMPLIANCE OFFICERS
WAGE & HOUR COMPLIANCE ,1,133-1041,565,COMPLIANCE OFFICERS
AGRICULTURAL COMMODITY WAREHOUSE EXAMINING,1,45-2011,6010,AGRICULTURAL INSPECTORS
EQUAL OPPORTUNITY INVESTIGATION,1,13-1041,565,COMPLIANCE OFFICERS
CONSUMER SAFETY INSPECTION  ,1,13-1041,565,COMPLIANCE OFFICERS
FOOD INSPECTION,1,45-2011,6010,AGRICULTURAL INSPECTORS
CUSTOMS & BORDER PROTECTION INTERDICTION,9,33-3021,3820,DETECTIVES & CRIMINAL INVESTIGATORS
IMPORT SPECIALIST,1,13-1041,565,COMPLIANCE OFFICERS
CUSTOMS ENTRY & LIQUIDATING ,1,13-2081,930,"TAX EXAMINERS, COLLECTORS  & REVENUE AGENTS"
CUSTOMS & BORDER PROTECTION,1,13-1041,565,COMPLIANCE OFFICERS
BORDER PATROL AGENT,9,33-3021,3850,POLICE OFFICERS
INVESTIGATION STUDENT TRAINEE,1,13-1041,565,COMPLIANCE OFFICERS
QUALITY ASSURANCE ,1,13-1199,740,OTHER BUSINESS  OPERATIONS SPECIALISTS 
AGRICULTURAL COMMODITY GRADING ,7,45-2041,6040,"GRADERS & SORTERS, AGRICULTURAL PRODUCTS"
AGRICULTURAL COMMODITY AID ,7,45-2041,6040,"GRADERS & SORTERS, AGRICULTURAL PRODUCTS"
QUALITY INSPECTION STUDENT TRAINEE,7,51-9061,8740,"INSPECTORS, TESTERS, SORTERS, SAMPLERS & WEIGHERS"
GENERAL SUPPLY,1,13-1199,740,OTHER BUSINESS OPERATIONS SPECIALISTS
SUPPLY PROGRAM MANAGEMENT,1,13-1081,700,LOGISTICIANS
SUPPLY CLERICAL & TECHNICIAN,5,43-3061,5150,PROCUREMENT CLERKS
INVENTORY MANAGEMENT ,1,13-1081,700,LOGISTICIANS
DISTRIBUTION FACILITIES & STORAGE MANAGEMENT,1,13-1199,740,OTHER BUSINESS OPERATIONS SPECIALISTS
PACKAGING,1,13-1199,740,OTHER BUSINESS OPERATIONS SPECIALISTS
SALES STORE CLERICAL ,4,41-2031,4760,RETAIL SALESPERSONS
SUPPLY STUDENT TRAINEE,1,13-1199,740,OTHER BUSINESS OPERATIONS SPECIALISTS
TRANSPORTATION SPECIALIST,1,13-1199,740,OTHER BUSINESS OPERATIONS SPECIALISTS
TRANSPORTATION CLERK & ASSISTANT,5,43-9XXX,5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS"
TRANSPORTATION INDUSTRY ANALYSIS,1,13-1111,710,MANAGEMENT ANALYSTS
RAILROAD SAFETY ,1,13-1041,565,COMPLIANCE OFFICERS
MOTOR CARRIER SAFETY,1,13-1041,565,COMPLIANCE OFFICERS
HIGHWAY SAFETY,1,13-1041,565,COMPLIANCE OFFICERS
TRAFFIC MANAGEMENT,1,13-1199,740,OTHER BUSINESS OPERATIONS SPECIALISTS
FREIGHT RATE,5,43-5011,5500,CARGO & FREIGHT AGENTS
TRANSPORTATION LOSS & DAMAGE CLAIMS EXAMINING,1,13-1030,540,"CLAIMS ADJUSTERS, APPRAISERS, EXAMINERS & INVESTIGATORS"
CARGO SCHEDULING ,5,43-5011,5500,CARGO & FREIGHT AGENTS
TRANSPORTATION OPERATIONS,1,13-1199,740,OTHER BUSINESS OPERATIONS SPECIALISTS
DISPATCHING,5,43-5030,5520,DISPATCHERS
AIR TRAFFIC CONTROL,3,53-2020,9040,AIR TRAFFIC CONTROLLERS & AIRFIELD OPERATIONS SPECIALISTS
AIR TRAFFIC ASSISTANCE,3,53-2020,9040,AIR TRAFFIC CONTROLLERS & AIRFIELD OPERATIONS SPECIALISTS
MARINE CARGO,5,43-5011,5500,CARGO & FREIGHT AGENTS
AIRCRAFT OPERATION,2,53-2010,9030,AIRCRAFT PILOTS & FLIGHT ENGINEERS
AIR NAVIGATION,2,53-2010,9030,AIRCRAFT PILOTS & FLIGHT ENGINEERS
TECHNICAL SYSTEMS PROGRAM MANAGERS,1,13-1199,740,OTHER BUSINESS OPERATIONS SPECIALISTS
TRANSPORTAION STUDENT TRAINEE,7,53-60XX,9420,"MISCELLANEOUS TRANSPORTATION WORKERS, INCLUDING BRIDGE & LOCK TENDERS & TRAFFIC TECHNICIANS"
COMPUTER OPERATOR,5,43-9011,5800,COMPUTER OPERATORS
COMPUTER TECHNICIAN,6,49-2011,7010,"COMPUTER, AUTOMATED TELLER, & OFFICE MACHINE REPAIRERS "
INFORMATION TECHNOLOGY MANAGEMENT,2,15-1150,1050,COMPUTER SUPPORT SPECIALISTS
INFORMATION TECHNOLOGY TRAINEE,2,15-1150,1050,COMPUTER 
"MISCELLANEOUS WIRE COMMUNICATIONS EQUIPMENT, INSTALLATION & MAINTENANCE",6,49-9052,7420,TELECOMMUNICATIONS LINE INSTALLERS & REPAIRERS
TELECOMMUNICATIONS MECHANIC,6,49-2020,7020,RADIO & TELECOMMUNICATIONS EQUIPMENT INSTALLERS & REPAIRERS
WIRE COMMUNICATIONS CABLE SPLICING,6,49-9052,7420,TELECOMMUNICATIONS LINE INSTALLERS & REPAIRERS
COMMUNICATIONS LINE INSTALLING & REPAIRING,6,49-9052,7420,TELECOMMUNICATIONS LINE INSTALLERS & REPAIRERS
MICELLANEOUS ELECTRONIC EQUIPMENT IN INSTALLATION & MAINTENANCE,6,49-9052,7420,TELECOMMUNICATIONS LINE INSTALLERS & REPAIRERS
ELECTRONIC MEASUREMENT EQUIPMENT MECHANIC,6,49-209X,7430,PRECISION INSTRUMENT & EQUIPMENT REPAIRERS
ELECTRONICS MECHANIC,6,49-209X,7100,"ELECTRICAL & ELECTRONICS REPAIRERS, INDUSTRIAL, UTILITY & TRANSPORTATION EQUIPMENT"
ELECTRONIC INDUSTRIAL CONTROLS MECHANIC,6,49-209X,7100,"ELECTRICAL & ELECTRONICS REPAIRERS, INDUSTRIAL, UTILITY & TRANSPORTATION EQUIPMENT"
ELECTRONIC DIGITAL COMPUTER MECHANIC,6,49-2011,7010,"COMPUTER, AUTOMATED TELLER, & OFFICE MACHINE REPAIRERS "
ELECTRONIC INTEGRATED SYSTEMS MECHANIC,6,49-209X,7100,"ELECTRICAL & ELECTRONICS REPAIRERS, INDUSTRIAL,  UTILITY & TRANSPORTATION EQUIPMENT"
MISCELLANEOUS ELECTRICAL INSTALLATION & MAINTENANCE,6,49-209X,7100,"ELECTRICAL & ELECTRONICS REPAIRERS, INDUSTRIAL, UTILITY & TRANSPORTATION EQUIPMENT"
ELECTRICIAN,6,47-2111,6355,ELECTRICIANS
ELECTRICIAN (HIGH VOLTAGE),6,49-9051,7410,ELECTRICAL POWER-LINE INSTALLERS & REPAIRERS
ELECTRICAL EQUIPMENT REPAIRING,6,49-2092,7040,"ELECTRIC MOTOR, POWER TOOL, & RELATED REPAIRERS"
AIRCRAFT ELECTRICIAN,6,49-2091,7030,AVIONICS TECHNICIANS
MISCELLANEOUS FABRIC & LEATHER WORK,7,51-609X,8460,"MISCELLANEOUS TEXTILE, APPAREL & FURNISHINGS WORKERS"
FABRIC WORKING,7,51-609X,8460,"MISCELLANEOUS TEXTILE, APPAREL & FURNISHINGS WORKERS"
UPHOLSTERING ,6,51-6093,8450,UPHOLSTERERS
SEWING MACHINE OPERATING,7,51-609X,8460,"MISCELLANEOUS TEXTILE, APPAREL & FURNISHINGS WORKERS"
MISCELLANEOUS INSTRUMENT WORK,6,49-9060,7430,PRECISION INSTRUMENT & EQUIPMENT REPAIRERS
OPTICAL INSTRUMENT REPAIRING,6,49-9060,7430,PRECISION INSTRUMENT & EQUIPMENT REPAIRERS
INSTRUMENT MAKING,3,17-3020,1550,"ENGINEERING TECHNICIANS, EXCEPT DRAFTERS"
INSTRUMENT MECHANIC,6,49-9060,7430,PRECISION INSTRUMENT & EQUIPMENT REPAIRERS
PRECISION MEASUREMENT EQUIPMENT CALIBRATING,6,49-9060,7430,PRECISION INSTRUMENT & EQUIPMENT REPAIRERS
MISCELLANEOUS MACHINE TOOL WORK,6,51-4041,8030,MACHINISTS
MACHINING,6,51-4041,8030,MACHINISTS
TOOLMAKING,6,51-4111,8130,TOOL & DIE MAKERS
DIE SINKING,6,51-4111,8130,TOOL & DIE MAKERS
MISCELLANEOUS GENERAL SERVICES & SUPPORT WORK,8,53-7062,9620,"LABORERS & FREIGHT, STOCK, & MATERIAL MOVERS, HAND"
LABORING,8,53-7062,9620,"LABORERS & FREIGHT, STOCK, & MATERIAL MOVERS, HAND"
