OPM OCCUPATION TITLE ,FedSec Occ Group(9),SOC CODE,CENS CODE,CENSUS OCCUPATION TITLE
LABORATORY WORKING,9,31-909X,3655,"HEALTHCARE SUPPORT OCCUPATIONS, ALL OTHER"
COIN/CURRENCY CHECKING,7,51-9061,8740,"INSPECTORS, TESTERS, SORTERS, SAMPLERS, & WEIGHERS"
LABORATORY SUPPORT WORKING,8,53-7062,9620,"LABORERS & FREIGHT, STOCK, & MATERIAL HANDLERS, HAND"
RAILROAD REPAIRING,6,47-4061,6740,RAIL-TRACK LAYING & MAINTENANCE EQUIPMENT OPERATORS
CUSTODIAL WORKING,9,37-201X,4220,JANITORS & BUILDING CLEANERS
MISCELLANEOUS STRUCTURAL & FINISHING WORK,6,47-2050,6250,"CEMENT MASONS, CONCRETE FINISHERS, & TERAZZO WORKERS"
CEMENT FINISHING,6,47-2050,6250,"CEMENT MASONS, CONCRETE FINISHERS, & TERRAZZO WORKERS"
MASONRY,6,47-2020,6220,"BRICKMASONS, BLOCKMASONS & STONEMASONS"
TILE SETTING ,6,47-2040,6240,"CARPET, FLOOR & TILE INSTALLERS & FINISHERS"
PLASTERING ,6,47-2161,6460,PLASTERERS & STUCCO MASONS
ROOFING ,6,47-2181,6515,ROOFERS
INSULATING,6,47-2130,6400,INSULATION WORKERS
MISCELLANEOUS METAL PROCESSING WORK,6,51-4193,8200,"PLATTING & COATING MACHINE SETTERS, OPERATORS & TENDERS, METAL & PLASTIC"
WELDERS,7,51-4120,8140,"WELDING, SOLDERING, & BRAZING WORKERS"
NONDESTRUCTIVE TESTING,7,51-9061,8740,"INSPECTORS, TESTERS, SORTERS, SAMPLERS, & WEIGHERS"
METALIZING,7,51-4193,8200,"PLATING & COATING MACHINE SETTERS, OPERATORS, & TENDERS, METAL & PLASTIC"
ELECTROPLATING ,7,51-4193,8200,"PLATING & COATING MACHINE SETTERS, OPERATORS, & TENDERS, METAL & PLASTIC"
HEAT TREATING,7,51-4191,8150,"HEAT TREATING EQUIPMENT SETTERS, OPERATORS, & TENDERS, METAL & PLASTIC"
BATTERY REPAIRING,6,49-9042,7340,"MAINTENANCE & REPAIR WORKERS, GENERAL"
BUFFING & POLISHING,7,51-4033,8000,"GRINDING, LAPPING, POLISHING & BUFFING MACHINE TOOL SETTERS, OPERATORS & TENDERS, METAL & PLASTIC"
SHOT PEENING MACHINE OPERATING,7,51-4XXX,8220,"MISCELLANEOUS METAL WORKERS & PLASTIC WORKERS, INCLUDING"
MISCELLANEOUS METAL WORK,6,47-2211,6520,SHEET METAL WORKERS
METAL FORGING,7,51-4022,7930,"FORGING MACHINE SETTERS, OPERATORS, & TENDERS, METAL & PLASTIC"
SHEET METAL MECHANIC,6,47-2211,6520,SHEET METAL WORKERS
BOILERMAKING,6,47-2011,6210,BOILERMAKERS
MOBILE EQUIPMENT METAL MECHANIC,6,49-3021,7150,AUTOMOTIVE BODY & RELATED REPAIRERS
ENGRAVING,6,51-9194,8910,ETCHERS & ENGRAVERS
SHIPFITTING ,6,51-4192,8220,MISCELLANEOUS METAL WORKERS & PLASTIC WORKERS
METAL TANK & RADIATOR REPAIRING,7,51-4120,8140,"WELDING, SOLDERING & BRAZING WORKERS"
METAL FORMING MACHINE OPERATING,7,51-4022,7930,"FORGING MACHINE SETTERS, OPERATORS, & TENDERS, METAL & PLASTIC"
"METAL TUBE MAKING, INSTALLING & REPAIRING",7,51-4021,7920,"EXTRUDING & DRAWING MACHINE SETTERS, OPERATORS, & TENDERS, METAL & PLASTIC"
"MISCELLANEOUS MOTION PICTURE, RADIO, TV & SOUND EQUIPEMENT OPERATION",3,27-40XX,2900,BROADCAST & SOUND ENGINEERING TECHNICIANS & RADIO OPERATORS & OTHER MEDIA & COMMUNICATIONS EQUIPMENT WORKERS
MOTION PICTURE PROJECTION,9,39-3021,4410,MOTION PICTURE PROJECTIONISTS
BROADCASTING EQUIPMENT OPERATING ,3,27-40XX,2900,BROADCAST & SOUND ENGINEERING TECHNICIANS & RADIO OPERATORS & OTHER MEDIA & COMMUNICATIONS EQUIPMENT WORKERS
MISCELLANEOUS LENS & CRYSTAL WORK,6,51-9080,8760,"MEDICAL, DENTAL, & OPTHALMIC LABORATORY TECHNICIANS"
PRESCRIPTION EYEGLASS MAKING,6,51-9080,8760,"MEDICAL, DENTAL, & OPTHALMIC LABORATORY TECHNICIANS"
MISCELLANEOUS PAINTING & PAPER HANGING,6,47-2141,6420,"PAINTERS, CONSTRUCTION & MAINTENANCE"
PAINTING,6,47-2141,6420,"PAINTERS, CONSTRUCTION & MAINTENANCE"
SIGN PAINTING,7,51-9120,8810,PAINTING WORKERS
PIPEFITTING,6,47-2150,6440,"PIPELAYERS, PLUMBERS, PIPEFITTERS & STEAMFITTERS"
PLUMBING ,6,47-2150,6440,"PIPELAYERS, PLUMBERS, PIPEFITTERS & STEAMFITTERS"
FUEL DISTRIBUTION SYSTEM MECHANIC,6,49-904X,7330,INDUSTRIAL & REFRACTORY MACHINERY MECHANICS
MISCELLANEOUS PLIABLE MATERIALS WORK,7,51-5195,8920,"MOLDERS, SHAPERS & CASTERS"
PLASTIC FABRICATING,7,51-4070,8100,"MOLDERS & MOLDING MACHINE SETTERS, OPERATORS, & TENDERS, METAL & PLASTIC"
RUBBER EQUIPMENT REPAIRING,6,49-909X,7630,"OTHER INSTALLATION, MAINTENANCE, & REPAIR WORKERS"
MOLDING,7,51-4070,8100,"MOLDERS & MOLDING MACHINE SETTERS, OPERATORS, & TENDERS, METAL & PLASTIC"
MISCELLANEOUS PRINTING,7,51-5112,8255,PRINTING PRESS OPERATORS
BINDERY WORKING,6,51-5113,8256,PRINT BINDING & FINISHING WORKERS
HAND COMPOSING ,6,51-5111,8250,PREPRESS TECHNICIANS & WORKERS
FILM ASSEMBLING -STRIPPING ,6,51-5111,8250,PREPRESS TECHNICIANS & WORKERS
LETTERPRESS OPERATING,7,51-5112,8255,PRINTING PRESSS OPERATORS
NEGATIVE ENGRAVING,6,51-5111,8250,PREPRESS TECHNICIANS & WORKERS
OFFSET PHOTOGRAPHY,6,51-5111,8250,PREPRESS TECHNICIANS & WORKERS
OFFSET PLATEMAKING,6,51-5111,8250,PREPRESS TECHNICIANS & WORKERS
OFFSET PRESS OPERATING,7,51-5023,8255,PRINTING PRESS OPERATORS
SILK SCREEN MAKING & PRINTING,7,51-5112,8255,PRINTING PRESS OPERATORS
PHOTOENGRAVING,6,51-5111,8250,PREPRESS TECHNICIANS & WORKERS
STEREOTYPE PLATEMAKING,6,51-5111,8250,PREPRESS TECHNICIANS & WORKERS
BOOKBINDING,6,51-5113,8256,PRINT BINDING & FINISHING WORKERS
BANK NOTE ENGRAVING,6,51-9194,8910,ETCHERS & ENGRAVERS
ELECTROLYTIC INTAGLIO PRINTMAKING,6,51-5111,8250,PREPRESS TECHNICIANS & WORKERS
INTAGLIO DIE & PLATE FINISHING,6,51-5111,8250,PREPRESS TECHNICIANS & WORKERS
INTAGLIO PRESS OPERATING ,7,51-5112,8255,PRINTING MACHINE OPERATORS
MISCELLANEOUS WOOD WORK,6,51-70XX,8550,MISCELLANEOUS WOODWORKERS
BLOCKING & BRACING,6,51-70XX,8550,"MISCELLANEOUS WOODWORKERS, INCLUDING MODEL MAKERS & PATTERNMAKERS"
WOOD WORKING,6,51-70XX,8550,"MISCELLANEOUS WOODWORKERS, INCLUDING MODEL MAKERS & PATTERNMAKERS"
WOOD CRAFTING,6,51-7011,8500,CABINET MAKERS & BENCH CARPENTERS
CARPENTRY,6,47-2031,6230,CARPENTERS
PATTERNMAKING,6,51-70XX,8550,"MISCELLANEOUS WOODWORKERS, INCLUDING MODEL MAKERS & PATTERNMAKERS"
FORM BLOCK MAKING,6,51-70XX,8550,"MISCELLANEOUS WOODWORKERS, INCLUDING MODEL MAKERS & PATTERNMAKERS"
MISCELLANEOUS GENERAL MAINTENANCE & OPERATIONS WORK ,6,51-8010,8600,"POWER PLANT OPERATORS, DISTRIBUTORS & DISPATCHERS"
MODEL MAKING,6,51-4060,8060,"MODEL MAKERS & PATTERMAKERS, METAL & PLASTIC"
EXHIBITS MAKING/MODELING,6,51-4060,8060,"MODEL MAKERS & PATTERMAKERS, METAL & PLASTIC"
RAILROAD CAR REPAIRING,6,49-3040,7220,HEAVY VEHICLE & MOBILE EQUIPMENT SERVICE TECHNICIANS & MECHANICS
BOAT BUILDING & REPAIRING,6,49-909X,7630,"OTHER INSTALLATION, MAINTENANCE, & REPAIR WORKERS"
GENERAL EQUIPMENT MECHANIC,6,49-904X,7330,INDUSTRIAL & REFRACTORY MACHINERY MECHANICS
GENERAL EQUIPMENT OPERATING,7,51-91XX,8965,"OTHER PRODUCTION WORKERS, INCLUDING SEMICONDUCTOR PROCESSORS "
UTILITY SYSTEMS REPAIRING-OPERATING,7,51-8090,8630,MISCELLANEOUS PLANT & SYSTEM OPERATORS
RESEARCH LABORATORY MECHANIC,6,49-9060,7430,PRECISION INSTRUMENT & EQUIPMENT REPAIRERS
MAINTENANCE MECHANIC,6,49-9042,7340,"MAINTENANCE & REPAIR WORKERS, GENERAL"
CEMETERY CARETAKING,8,37-3010,4250,GROUNDS MAINTENANCE WORKERS
MISCELLANEOUS GENERAL EQUIPMENT MAINTENANCE,6,49-9071,7340,"MAINTENANCE & REPAIR WORKERS, GENERAL"
LOCKSMITHING,6,49-9094,7540,LOCKSMITHS & SAFE REPAIRERS
MEDICAL EQUIPMENT REPAIRING,6,49-9060,7430,PRECISION INSTRUMENT & EQUIPMENT REPAIRERS
OFFICE APPLIANCE REPAIRING,6,49-2011,7010,"COMPUTER, AUTOMATED TELLER, & OFFICE MACHINE REPAIRERS "
CHEMICAL EQUIPMENT REPAIRING ,6,49-909X,7630,"OTHER INSTALLATION, MAINTENANCE, & REPAIR WORKERS"
CUSTODIAL EQUIPMENT SERVICING ,6,49-9031,7320,HOME APPLIANCE REPAIRERS
PROTECTIVE & SAFETY EQUIP FABRICATING & REPAIRING ,6,49-909X,7630,"OTHER INSTALLATION, MAINTENANCE & REPAIR WORKERS"
AIRCRAFT SURVIVAL FLIGHT EQUIPMENT REPAIRING,6,49-9060,7430,PRECISION INSTRUMENT & EQUIPMENT REPAIRERS
BOWLING EQUIPMENT REPAIRING,6,49-909X,7630,"OTHER INSTALLATION, MAINTENANCE & REPAIR WORKERS"
VENDING MACHINE REPAIRING,6,49-9091,7510,"COIN, VENDING & AMUSEMENT MACHINE SERVICES & REPAIRERS"
TOOL & EQUIPMENT REPAIRING,7,51-4194,8210,"TOOL GRINDERS, FILERS & SHARPENERS"
MECHANICAL PARTS REPAIRING,6,49-9042,7340,"MAINTENANCE & REPAIR WORKERS, GENERAL"
BEARING RECONDITIONING,6,49-9060,7430,PRECISION INSTRUMENT & EQUIPMENT REPAIRERS
DOMESTIC APPLIANCE REPAIRING,6,49-9031,7320,HOME APPLIANCE REPAIRERS
MISCELLANEOUS PLANT & ANIMAL WORK,8,45-20XX,6050,MISCELLANEOUS AGRICULTURAL WORKERS
FARMING,8,45-20XX,6050,MISCELLANEOUS AGRICULTURAL WORKERS
GARDENING,8,45-20XX,6050,MISCELLANEOUS AGRICULTURAL WORKERS
PEST CONTROLLING ,9,37-2021,4240,PEST CONTROL WORKERS
INSECTS PRODUCTION WORKING,8,45-20XX,6050,MISCELLANEOUS AGRICULTURAL WORKERS
DAIRY FARMING,8,45-20XX,6050,MISCELLANEOUS AGRICULTURAL WORKERS
LIVESTOCK RANCHING/WRANGLING,8,45-20XX,6050,MISCELLANEOUS AGRICULTURAL WORKERS
TREE TRIMMING & REMOVING,8,37-3010,4250,GROUNDS MAINTENANCE WORKERS
ANIMAL CARETAKING ,8,39-2021,4350,NONFARM ANIMAL CARETAKERS
MISCELLANEOUS OCCUPATIONS,7,51-91XX,8965,OTHER PRODUCTION WORKERS
GAS & RADIATION DETECTING ,7,51-9061,8740,"INSPECTORS, TESTERS, SORTERS, SAMPLERS, & WEIGHERS"
RIGGING ,6,49-9096,7560,RIGGERS
SHIPWRIGHT ,6,47-2031,6230,CARPENTERS
LOFTING ,6,51-4060,8060,"MODEL MAKERS & PATTERMAKERS, METAL & PLASTIC"
MISCELLANEOUS INDUSTRIAL EQUIPMENT MAINTENANCE,6,49-3090,7260,"MISCELLANEOUS VEHICLE & MOBILE EQUIPMENT MECHANICES, INSTALLERS & REPAIRERS"
AIR CONDITIONING EQUIPMENT MECHANIC,6,49-9021,7315,"HEATING, AIR CONDITIONING & REFRIGERATION MECHANICS & INSTALLERS"
HEATING & BOILER PLANT EQUIPMENT MECHANIC ,6,49-9021,7315,"HEATING, AIR CONDITIONING & REFRIGERATION MECHANICS & INSTALLERS"
KITCHEN/BAKERY EQUIPMENT REPAIRING,6,49-9042,7340,"MAINTENANCE & REPAIR WORKERS, GENERAL"
ELEVATOR MECHANIC,6,47-4021,6700,ELEVATOR INSTALLERS & REPAIRERS
LAUNDRY & DRY CLEANING EQUIPMENT REPAIRING,6,49-904X,7330,INDUSTRIAL & REFRACTORY MACHINERY MECHANICS
LOCK & DAM REPAIRING ,6,49-9042,7340,"MAINTENANCE & REPAIR WORKERS, GENERAL"
OILING & GREASING ,6,49-9043,7350,"MAINTENANCE WORKERS, MACHINERY"
MARINE MACHINERY MECHANIC,6,49-904X,7330,INDUSTRIAL & REFRACTORY MACHINERY MECHANICS
INDUSTRIAL FURNACE BUILDING & REPAIRING,6,49-904X,7330,INDUSTRIAL & REFRACTORY MACHINERY MECHANICS
PRODUCTION MACHINERY MECHANIC,6,49-904X,7330,INDUSTRIAL & REFRACTORY MACHINERY MECHANICS
INDUSTRIAL EQUIPMENT MECHANIC,6,49-904X,7330,INDUSTRIAL & REFRACTORY MACHINERY MECHANICS
DOOR SYSTEMS MECHANIC,6,49-904X,7330,INDUSTRIAL & REFRACTORY MACHINERY MECHANICS
PHYSIOLOGICAL TRAINER MECHANIC,6,49-9060,7430,PRECISION INSTRUMENT & EQUIPMENT REPAIRERS
POWERED SUPPORT SYSTEMS MECHANIC ,6,49-3040,7220,HEAVY VEHICLE & MOBILE EQUIPMENT SERVICE TECHNICIANS & MECHANICS
GASDYNAMIC FACILITY INSTALLING & REPAIRING,6,49-904X,7330,INDUSTRIAL & REFRACTORY MACHINERY MECHANICS
MISCELLANEOUS INDUSTRIAL EQUIPMENT OPERATION,7,51-8190,8630,MISCELLANEOUS PLANT & SYSTEM OPERATORS
BOILER PLANT OPERATING ,6,51-8021,8610,STATIONARY ENGINEERS & BOILER OPERATORS
UTILITY SYSTEMS OPERATING,6,51-8021,8610,STATIONARY ENGINEERS & BOILER OPERATORS
ELETRIC POWER CONTROLLING ,6,51-8010,8600,"POWER PLANT OPERATORS, DISTRIBUTORS, & DISPATCHERS"
WASTEWATER DISPOSAL PLANT OPERATING,6,51-8031,8620,WATER & LIQUID WASTE TREATMEN PLANT & SYSTEM OPERATORS
WATER TREATMENT PLANT OPERATING,6,51-8031,8620,WATER & LIQUID WASTE TREATMEN PLANT & SYSTEM OPERATORS
FUEL DISTRIBUTION SYSTEM OPERATING,7,51-8090,8630,MISCELLANEOUS PLANT & SYSTEM OPERATORS
AIR CONDITIONING EQUIPMENT OPERATING,6,51-8021,8610,STATIONARY ENGINEERS & BOILER OPERATORS
STATIONARY-ENGINE OPERATING,6,51-8021,8610,STATIONARY ENGINEERS & BOILER OPERATORS
SANDBLASTING,7,51-4XXX,8220,OTHER METALWORKERS & PLASTIC WORKERS
LOCK & DAM OPERATING,7,53-60XX,9420,"MISCELLANEOUS TRANSPORTATION WORKERS, INCLUDING BRIDGE & LOCK TENDERS & TRAFFIC TECHNICIANS"
CHEMICAL PLANT OPERATING,7,51-8090,8630,MISCELLANEOUS PLANT & SYSTEM OPERATORS
ELEVATOR OPERATING,7,53-7199,9750,"MATERIAL MOVING WORKERS, ALL OTHER"
TESTING EQUIPMENT OPERATING,7,51-9061,8740,"INSPECTORS, TESTERS, SORTERS, SAMPLERS, & WEIGHERS"
PACKAGING MACHINE OPERATING,7,51-9111,8800,PACKAGING & FILLING MACHINE OPERATORS & TENDERS
TEXTILE EQUIPMENT OPERATING,7,51-6063,8410,"TEXTILE KNITTING & WEAVING MACHINE SETTERS, OPERATORS, & TENDERS"
AIRCRAFT WEIGHT & BALANCE OPERATING,5,43-5111,5630,"WEIGHERS, MEASURERS, CHECKERS & SAMPLERS, RECORDKEEPING"
MISCELLANEOUS TRANSPORTATION/MOBILE EQUIPMENT OPERATION,7,53-3099,9150,"MOTOR VEHICLE OPERATORS, ALL OTHER"
MOTOR VEHICLE OPERATING,7,53-30XX,9150,MISCELLANEOUS MOTOR VEHICLE OPERATORS
FORK LIFT OPERATING,7,53-7051,9600,INDUSTRIAL TRUCK & TRACTOR OPERATORS
TRACTOR OPERATING,6,53-7051,9600,INDUSTRIAL TRUCK & TRACTOR OPERATORS
ENGINEERING EQUIPMENT OPERATING,6,53-7030,9520,"DREDGE, EXCAVATING, & LOADING MACHINE OPERATORS"
CRANE OPERATING,6,53-7021,9510,CRANE & TOWER OPERATORS
DRILL RIG OPERATING ,6,47-50YY,6800,"DERRICK, ROTARY DRILL, & SERVICE UNIT OPERATORS, & ROUSTABOUTS, OIL, GAS & MINING"
BRAKING-SWITCHING & CONDUCTING,7,53-4021,9230,"RAILROAD BRAKE, SIGNAL & SWITCH OPERATORS"
LOCOMOTIVE ENGINEERING ,7,53-4010,9200,LOCOMOTIVE ENGINEERS & OPERATORS
RAILROAD MAINTENANCE VEHICLE OPERATING,7,53-4010,9200,LOCOMOTIVE ENGINEERS & OPERATORS
AIRFIELD CLEARING EQUIPMENT OPERATORS,6,53-7030,9520,"DREDGE, EXCAVATING, & LOADING MACHINE OPERATORS"
SHIP OPERATING ,1,53-5020,9310,SHIP & BOAT CAPTAINS & OPERATORS
RIVERBOAT OPERATING ,1,53-5020,9310,SHIP & BOAT CAPTAINS & OPERATORS
SMALL CRAFT OPERATING,1,53-5020,9310,SHIP & BOAT CAPTAINS & OPERATORS
DECKHAND,7,53-5011,9300,SAILORS & MARINE OILERS
MISCELLANEOUS TRANSPORTATION/MOBILE EQUIPMENT MAINTENANCE,6,49-3023,7200,AUTOMOTIVE SERVICE TECHNICIANS & MECHANICS
HEAVY MOBILE EQUIPMENT MECHANIC,6,49-3040,7220,HEAVY VEHICLE & MOBILE EQUIPMENT SERVICE TECHNICIANS & MECHANICS
MOBILE EQUIPMENT SERVICING,6,49-909X ,7630,"OTHER INSTALLATION, MAINTENANCE, & REPAIR WORKERS"
AUTOMOTIVE MECHANIC,6,49-3023,7200,AUTOMOTIVE SERVICE TECHNICIANS
ELECTROMOTIVE EQUIPMENT MECHANIC,6,49-3040,7220,HEAVY VEHICLE & MOBILE EQUIPMENT SERVICE TECHNICIANS & MECHANICS
"MISCELLANEOUS AMMUNITION, EXPLOSIVES, & TOXIC MATERIALS WORK",6,47-5031,6830,"EXPLOSIVES WORKERS, ORDNANCE HANDLING EXPERTS, & BLASTERS"
EXPLOSIVES OPERATING,6,47-5031,6830,"EXPLOSIVES WORKERS, ORDNANCE HANDLING EXPERTS, & BLASTERS"
MUNITIONS DESTROYING ,6,47-5031,6830,"EXPLOSIVES WORKERS, ORDNANCE HANDLING EXPERTS, & BLASTERS"
MISSILE/TOXIC MATERIALS HANDLING,7,53-7XXX,9750,MISCELLANEOUS MATERIAL MOVING WORKERS
EXPLOSIVES TEST OPERATING ,6,47-5031,6830,"EXPLOSIVES WORKERS, ORDNANCE HANDLING EXPERTS, & BLASTERS"
MISCELLANEOUS ARMAMENT WORK ,6,47-5031,6830,"EXPLOSIVES WORKERS, ORDNANCE HANDLING, & BLASTERS"
SMALL ARMS REPAIRING ,6,49-909X,7630,"OTHER INSTALLATION, MAINTENANCE & REPAIR WORKERS"
ORDNANCE EQUIPMENT MECHANIC,6,49-3040,7220,HEAVY VEHICLE & MOBILE EQUIPMENT SERVICE TECHNICIANS & MECHANICS
AIRCRAFT ORDNANCE SYSTEM MECHANIC,6,49-3011,7140,AIRCRAFT MECHANICS & SERVICE TECHNICIANS
SPECIAL WEAPONS SYSTEMS MECHANIC ,6,49-909X,7630,"OTHER INSTALLATION, MAINTENANCE & REPAIR WORKERS"
MISCELLANEOUS WAREHOUSING & STOCK HANDLING,5,43-5061,5600,"PRODUCTION, PLANNING, & EXPEDITING CLERKS"
TOOLS  & PARTS ATTENDING ,5,43-5081,5620,STOCK CLERKS & ORDER FILLERS
MATERIALS HANDER,7,53-7XXX,9750,MISCELLANEOUS MATERIAL MOVING WORKERS
MATERIALS EXPEDITING ,5,43-5061,5600,"PRODUCTION, PLANNING, & EXPEDITING CLERKS"
MATERIALS EXAMINING & IDENTIFYING,5,43-5081,5620,STOCK CLERKS & ORDER FILLERS
HAZARDOUS WASTE DISPOSING,6,47-4041,6720,HAZARDOUS MATERIALS REMOVAL WORKERS
STORE WORKING ,5,43-5081,5620,STOCK CLERKS & ORDER FILLERS
BULK MONEY HANDLING,7,53-7XXX,9750,MISCELLANEOUS MATERIAL MOVING WORKERS
AIRCRAFT FREIGHT LOADING,7,53-7XXX,9750, MISCELLANEOUS MATERIAL MOVING WORKERS
MISCELLANEOUS PACKING & PROCESSING,7,53-7064,9640,"PACKERS & PACKAGING, HAND"
PACKIING,7,53-7064,9640,"PACKERS & PACKAGERS, HAND"
PRESERVATION SERVICE ,7,51-91XX,8965,"OTHER PRODUCTION WORKERS, INCLUDING SEMICONDUCTOR PROCESSORS"
EQUIPMENT CLEANING ,8,53-7061,9610,CLEANERS OF VEHICLES & EQUIPMENT
"MISCELLANEOUS LAUDRY, DRYCLEANING & PRESSING",7,51-6011,8300,LAUNDRY & DRY CLEANING WORKERS
LAUNDRY WORKING ,7,51-6011,8300,LAUNDRY & DRY CLEANING WORKERS
LAUNDRY MACHINE OPERATING ,7,51-6011,8300,LAUNDRY & DRY CLEANING WORKERS
MISCELLANEOUS FOOD PREPARATION & SERVING,9,35-90XX,4130,MISCELLANEOUS FOOD PREPARATION & RELATED WORKERS 
BAKING,7,51-3011,7800,BAKERS
COOKING,9,35-2010,4020,COOKS
BARTENDING ,9,35-3011,4040,BARTENDERS
MEATCUTTING,7,51-3020,7810,"BUTCHERS & OTHER MEAT, POULTRY & FISH PROCESSING WORKERS"
FOOD SERVICE WORKING,9,35-90XX,4130,DINING ROOM & CAFETERIA ATTENDANTS & BARTENDER HELPERS & MISCELLANEOUS FOOD PREPARATION & SERVING RELATED WORKERS 
WAITER,9,35-3031,4110,WAITERS & WAITRESSES
MISCELLANEOUS PERSONAL SERVICES,9,39-9099,4650,"PERSONAL CARE & SERVICE WORKERS, ALL OTHER"
BARBERING,9,39-5011,4500,BARBERS
MISCELLANEOUS FLUID SYSTEMS MAINTENANCE,6,49-9010,7300,CONTROL & VALVE INSTALLERS & REPAIRERS
PNEUDRAULIC SYSTEMS MECHANIC ,6,49-9010,7300,CONTROL & VALVE INSTALLERS & REPAIRERS
AIRCRAFT PNEUDRAULIC SYSTEMS MECHANIC,6,49-9010,7300,CONTROL & VALVE INSTALLERS & REPAIRERS
AIRCRAFT ENGINE MECHANIC,6,49-3011,7140,AIRCRAFT MECHANICS & SERVICE TECHNICIANS
SMALL ENGINE MECHANIC ,6,49-3050,7240,SMALL ENGINE MECHANICS
LIQUID FUEL ROCKET ENGINE MECHANIC,6,49-904X,7330,INDUSTRIAL & REFRACTORY MACHINERY MECHANICS
MISCELLANEOUS AIRCRAFT OVERHAUL,6,49-3011,7140,AIRCRAFT MECHANICS & SERVICE TECHNICIANS
AIRCRAFT PROPELLER MECHANIC ,6,49-3011,7140,AIRCRAFT MECHANICS & SERVICE TECHNICIANS
AIRCRAFT MECHANICAL PARTS REPAIRING,6,49-3011,7140,AIRCRAFT MECHANICS & SERVICE TECHNICIANS
AIRCRAFT MECHANIC ,6,49-3011,7140,AIRCRAFT MECHANICS & SERVICE TECHNICIANS
AIRCRAFT ATTENDING ,7,53-7XXX,9750,MISCELLANEOUS MATERIAL MOVING WORKERS
AIRFRAME TEST OPERATING,6,49-3011,7140,AIRCRAFT MECHANICS & SERVICE TECHNICIANS
MISCELLANEOUS FILM PROCESSING,7,51-9151,8830,PHOTOGRAPIC PROCESS WORKERS & PROCESSING MACHINE OPERATORS
FILM ASSEMBLING & REPAIRING ,7,51-9151,8830,PHOTOGRAPIC PROCESS WORKERS & PROCESSING MACHINE OPERATORS
MOTION PICTURE DEVELOPING/PRINTING MACHINE OPERATING ,7,51-9151,8830,PHOTOGRAPHIC PROCESS WORKERS & PROCESSING MACHINE OPERATORS
